nohup: ignoring input
Watching for file changes with StatReloader
Performing system checks...

System check identified some issues:

WARNINGS:
trading.Balance: (models.W042) Auto-created primary key used when not defining a primary key type, by default 'django.db.models.AutoField'.
	HINT: Configure the DEFAULT_AUTO_FIELD setting or the AppConfig.default_auto_field attribute to point to a subclass of AutoField, e.g. 'django.db.models.BigAutoField'.
trading.Device: (models.W042) Auto-created primary key used when not defining a primary key type, by default 'django.db.models.AutoField'.
	HINT: Configure the DEFAULT_AUTO_FIELD setting or the AppConfig.default_auto_field attribute to point to a subclass of AutoField, e.g. 'django.db.models.BigAutoField'.
trading.IdempotentResponse: (models.W042) Auto-created primary key used when not defining a primary key type, by default 'django.db.models.AutoField'.
	HINT: Configure the DEFAULT_AUTO_FIELD setting or the AppConfig.default_auto_field attribute to point to a subclass of AutoField, e.g. 'django.db.models.BigAutoField'.

System check identified 3 issues (0 silenced).
October 08, 2025 - 17:29:26
Django version 4.2.24, using settings 'p2p_energy_backend.settings'
Starting development server at http://0.0.0.0:8000/
Quit the server with CONTROL-C.

[08/Oct/2025 17:33:06] "GET /api/iotcentral/timeseries/?device=sim-1&components=pv_array,house_load&minutes=60 HTTP/1.1" 200 17926
[08/Oct/2025 17:33:09] "GET /api/iotcentral/latest/?device=sim-1&component=pv_array HTTP/1.1" 200 86
[08/Oct/2025 17:33:11] "GET /api/iotcentral/timeseries/?device=sim-1&components=pv_array,house_load&minutes=60 HTTP/1.1" 200 17926
[08/Oct/2025 17:33:13] "GET /api/iotcentral/latest/?device=sim-1&component=pv_array HTTP/1.1" 200 86
[08/Oct/2025 17:33:16] "GET /api/iotcentral/timeseries/?device=sim-1&components=pv_array,house_load&minutes=60 HTTP/1.1" 200 17926
[08/Oct/2025 17:33:17] "GET /api/iotcentral/latest/?device=sim-1&component=pv_array HTTP/1.1" 200 86
[08/Oct/2025 17:33:21] "GET /api/iotcentral/latest/?device=sim-1&component=pv_array HTTP/1.1" 200 86
[08/Oct/2025 17:33:21] "GET /api/iotcentral/daily_exported/?device=sim-1&component=grid_export HTTP/1.1" 200 81
[08/Oct/2025 17:33:21] "GET /api/iotcentral/timeseries/?device=sim-1&components=pv_array,house_load&minutes=60 HTTP/1.1" 200 17926
[08/Oct/2025 17:33:22] "GET /api/predict/?system_kw=3&baseline_kwh=6&live_avg_production=0&live_avg_consumption=0&live_peak_production=0&live_total_surplus=0&live_efficiency=0&historical_data_points=0&city=Location+(-1.28,+36.82) HTTP/1.1" 200 1121
[08/Oct/2025 17:33:25] "GET /api/iotcentral/latest/?device=sim-1&component=pv_array HTTP/1.1" 200 86
[08/Oct/2025 17:33:26] "GET /api/iotcentral/timeseries/?device=sim-1&components=pv_array,house_load&minutes=60 HTTP/1.1" 200 17926
[08/Oct/2025 17:33:29] "GET /api/iotcentral/latest/?device=sim-1&component=pv_array HTTP/1.1" 200 86
[08/Oct/2025 17:33:31] "GET /api/iotcentral/timeseries/?device=sim-1&components=pv_array,house_load&minutes=60 HTTP/1.1" 200 17926
[08/Oct/2025 17:34:19] "GET /api/me/ HTTP/1.1" 200 114
[08/Oct/2025 17:34:19] "GET /api/me/ HTTP/1.1" 200 114
Bad Gateway: /api/predict/
[08/Oct/2025 17:34:20] "GET /api/predict/?lat=-1.2841&lon=36.8155&historical_data_points=0&city=Location+(-1.28,+36.82) HTTP/1.1" 502 442
[08/Oct/2025 17:34:20] "GET /api/iotcentral/latest/?device=sim-1&component=pv_array HTTP/1.1" 200 86
[08/Oct/2025 17:34:20] "GET /api/iotcentral/daily_exported/?device=sim-1&component=grid_export HTTP/1.1" 200 81
Bad Gateway: /api/predict/
[08/Oct/2025 17:34:20] "GET /api/account/balance/ HTTP/1.1" 200 45
[08/Oct/2025 17:34:20] "GET /api/predict/?lat=-1.2841&lon=36.8155&system_kw=3&baseline_kwh=6&live_avg_production=0&live_avg_consumption=0&live_peak_production=0&live_total_surplus=0&live_efficiency=0&historical_data_points=0&city=Location+(-1.28,+36.82) HTTP/1.1" 502 576
[08/Oct/2025 17:34:20] "GET /api/iotcentral/timeseries/?device=sim-1&components=pv_array,house_load&minutes=60 HTTP/1.1" 200 17926
[08/Oct/2025 17:34:20] "GET /api/devices/mine/ HTTP/1.1" 200 28
Bad Gateway: /api/predict/
[08/Oct/2025 17:34:20] "GET /api/predict/?lat=-1.2841&lon=36.8155&historical_data_points=0&city=Location+(-1.28,+36.82) HTTP/1.1" 502 442
[08/Oct/2025 17:34:20] "GET /api/iotcentral/latest/?device=sim-1&component=pv_array HTTP/1.1" 200 86
[08/Oct/2025 17:34:20] "GET /api/account/balance/ HTTP/1.1" 200 45
[08/Oct/2025 17:34:20] "GET /api/iotcentral/daily_exported/?device=sim-1&component=grid_export HTTP/1.1" 200 81
[08/Oct/2025 17:34:20] "GET /api/devices/mine/ HTTP/1.1" 200 28
Bad Gateway: /api/predict/
[08/Oct/2025 17:34:20] "GET /api/predict/?lat=-1.2841&lon=36.8155&system_kw=3&baseline_kwh=6&live_avg_production=0&live_avg_consumption=0&live_peak_production=0&live_total_surplus=0&live_efficiency=0&historical_data_points=0&city=Location+(-1.28,+36.82) HTTP/1.1" 502 576
[08/Oct/2025 17:34:20] "GET /api/iotcentral/timeseries/?device=sim-1&components=pv_array,house_load&minutes=60 HTTP/1.1" 200 17926
[08/Oct/2025 17:34:20] "GET /api/iotcentral/last_seen/ HTTP/1.1" 200 41
Bad Gateway: /api/predict/
[08/Oct/2025 17:34:21] "GET /api/predict/?lat=-1.2841&lon=36.8155&live_avg_production=2.03625&live_avg_consumption=1.5387499999999996&live_peak_production=2.63&live_total_surplus=8.01&live_efficiency=0.8&historical_data_points=16&city=Location+(-1.28,+36.82) HTTP/1.1" 502 581
[08/Oct/2025 17:34:23] "GET /api/iotcentral/latest/?device=sim-1&component=pv_array HTTP/1.1" 200 86
[08/Oct/2025 17:34:24] "GET /api/iotcentral/timeseries/?device=sim-1&components=pv_array,house_load&minutes=60 HTTP/1.1" 200 17926
[08/Oct/2025 17:34:27] "GET /api/iotcentral/latest/?device=sim-1&component=pv_array HTTP/1.1" 200 86
[08/Oct/2025 17:34:29] "GET /api/iotcentral/timeseries/?device=sim-1&components=pv_array,house_load&minutes=60 HTTP/1.1" 200 17926
[08/Oct/2025 17:34:31] "GET /api/iotcentral/latest/?device=sim-1&component=pv_array HTTP/1.1" 200 86
[08/Oct/2025 17:34:34] "GET /api/iotcentral/timeseries/?device=sim-1&components=pv_array,house_load&minutes=60 HTTP/1.1" 200 17926
[08/Oct/2025 17:34:35] "GET /api/iotcentral/latest/?device=sim-1&component=pv_array HTTP/1.1" 200 86
[08/Oct/2025 17:34:39] "GET /api/iotcentral/latest/?device=sim-1&component=pv_array HTTP/1.1" 200 86
[08/Oct/2025 17:34:39] "GET /api/iotcentral/timeseries/?device=sim-1&components=pv_array,house_load&minutes=60 HTTP/1.1" 200 17926
[08/Oct/2025 17:34:43] "GET /api/iotcentral/latest/?device=sim-1&component=pv_array HTTP/1.1" 200 86
[08/Oct/2025 17:34:44] "GET /api/iotcentral/timeseries/?device=sim-1&components=pv_array,house_load&minutes=60 HTTP/1.1" 200 17926
[08/Oct/2025 17:34:47] "GET /api/iotcentral/latest/?device=sim-1&component=pv_array HTTP/1.1" 200 86
[08/Oct/2025 17:34:49] "GET /api/iotcentral/timeseries/?device=sim-1&components=pv_array,house_load&minutes=60 HTTP/1.1" 200 17926
[08/Oct/2025 17:34:49] "GET /api/iotcentral/daily_exported/?device=sim-1&component=grid_export HTTP/1.1" 200 81
[08/Oct/2025 17:34:51] "GET /api/iotcentral/latest/?device=sim-1&component=pv_array HTTP/1.1" 200 86
[08/Oct/2025 17:34:54] "GET /api/iotcentral/timeseries/?device=sim-1&components=pv_array,house_load&minutes=60 HTTP/1.1" 200 17926
[08/Oct/2025 17:34:55] "GET /api/iotcentral/latest/?device=sim-1&component=pv_array HTTP/1.1" 200 86
[08/Oct/2025 17:35:07] "GET /api/me/ HTTP/1.1" 200 114
[08/Oct/2025 17:35:07] "GET /api/me/ HTTP/1.1" 200 114
Bad Gateway: /api/predict/
[08/Oct/2025 17:35:08] "GET /api/predict/?lat=-1.2841&lon=36.8155&system_kw=3&baseline_kwh=6&live_avg_production=0&live_avg_consumption=0&live_peak_production=0&live_total_surplus=0&live_efficiency=0&historical_data_points=0&city=Location+(-1.28,+36.82) HTTP/1.1" 502 576
Bad Gateway: /api/predict/
[08/Oct/2025 17:35:08] "GET /api/predict/?lat=-1.2841&lon=36.8155&historical_data_points=0&city=Location+(-1.28,+36.82) HTTP/1.1" 502 442
[08/Oct/2025 17:35:08] "GET /api/iotcentral/latest/?device=sim-1&component=pv_array HTTP/1.1" 200 86
[08/Oct/2025 17:35:08] "GET /api/account/balance/ HTTP/1.1" 200 45
